一个 yi|ge 165652
先生 xian|sheng 18711
有人 you|ren 18707
下来 xia|lai 18648
不可 bu|ke 18527
发现 fa|xian 18485
一切 yi|qie 18477
是个 shi|ge 18443
为什么 wei|shen|me 18094
而且 er|qie 17997
应该 ying|gai 17976
系统 xi|tong 17806
一起 yi|qi 17623
使用 shi|yong 17597
认为 ren|wei 17454
喜欢 xi|huan 17388
国家 guo|jia 17191
朋友 peng|you 17000
并不 bing|bu 16957
一直 yi|zhi 16916
一定 yi|ding 16814
今天 jin|tian 16744
过去 guo|qu 16530
大家 da|jia 16419
那些 na|xie 16376
不要 bu|yao 16332
为了 wei|le 16159
也没 ye|mei 16098
我想 wo|xiang 16077
眼睛 yan|jing 15929
需要 xu|yao 15812
关系 guan|xi 15807
告诉 gao|su 15752
进行 jin|xing 15646
最后 zui|hou 15584
任何 ren|he 15410
当然 dang|ran 15292
看见 kan|jian 15064
发展 fa|zhan 15041
虽然 sui|ran 14973
我是 wo|shi 14911
有些 you|xie 14902
总是 zong|shi 14883
我也 wo|ye 14879
社会 she|hui 14667
第二 di|er 14515
他说 ta|shuo 14477
研究 yan|jiu 14335
以后 yi|hou 14317
如何 ru|he 14272
于是 yu|shi 14025
也许 ye|xu 14006
许多 xu|duo 14002
人们 ren|men 13999
如此 ru|ci 13968
电话 dian|hua 13894
几个 ji|ge 13894
北京 bei|jing 13874
希望 xi|wang 13784
我就 wo|jiu 13751
突然 tu|ran 13738
成了 cheng|le 13721
不同 bu|tong 13719
看着 kan|zhe 13687
一天 yi|tian 13685
事情 shi|qing 13674
主义 zhu|yi 13627
经济 jing|ji 13598
回来 hui|lai 13543
出了 chu|le 13498
声音 sheng|yin 13449
发生 fa|sheng 13423
政府 zheng|fu 13346
提到 ti|dao 13281
感到 gan|dao 13234
后来 hou|lai 13227
感觉 gan|jue 13213
公司 gong|si 13189
大学 da|xue 13163
心里 xin|li 13144
有什么 you|shen|me 13117
非常 fei|chang 13091
其实 qi|shi 13038
那里 na|li 13035
在那 zai|na 13023
女孩 nv|hai 13011
过来 guo|lai 12977
都不 dou|bu 12941
台湾 tai|wan 12828
方面 fang|mian 12789
之后 zhi|hou 12759
给我 gei|wo 12749
男人 nan|ren 12698
有点 you|dian 12668
人民 ren|min 12622
或者 huo|zhe 12550
就不 jiu|bu 12490
完全 wan|quan 12467
存在 cun|zai 12347
另一 ling|yi 12296
想到 xiang|dao 12284
让我 rang|wo 12263
国人 guo|ren 12232
很多 hen|duo 12177
出现 chu|xian 12152
我在 wo|zai 12144
得到 de|dao 12010
母亲 mu|qin 11981
之间 zhi|jian 11960
学生 xue|sheng 11891
同时 tong|shi 11887
以为 yi|wei 11883
甚至 shen|zhi 11857
坐在 zuo|zai 11816
表示 biao|shi 11790
转载 zhuan|zai 11778
必须 bi|xu 11751
一声 yi|sheng 11747
无法 wu|fa 11568
当时 dang|shi 11565
明白 ming|bai 11537
下去 xia|qu 11518
二十 er|shi 11516
自然 zi|ran 11497
那样 na|yang 11346
因此 yin|ci 11327
对于 dui|yu 11319
情况 qing|kuang 11310
重要 zhong|yao 11286
不到 bu|dao 11261
似乎 si|hu 11225
一般 yi|ban 11221
大作 da|zuo 11208
父亲 fu|qin 11189
它们 ta|men 11070
别人 bie|ren 11065
成为 cheng|wei 11057
一边 yi|bian 10954
其他 qi|ta 10901
有一个 you|yi|ge 10894
说话 shuo|hua 10689
我看 wo|kan 10679
故事 gu|shi 10676
关于 guan|yu 10674
正在 zheng|zai 10673
为我 wei|wo 10631
是有 shi|you 10602
不好 bu|hao 10521
决定 jue|ding 10487
然而 ran|er 10434
结果 jie|guo 10328
走了 zou|le 10322
历史 li|shi 10276
相信 xiang|xin 10233
对我 dui|wo 10228
我还 wo|hai 10179
部分 bu|fen 10125
特别 te|bie 10125
只要 zhi|yao 10084
看看 kan|kan 10080
能够 neng|gou 10051
意思 yi|si 10018
国际 guo|ji 10014
也就 ye|jiu 9976
她说 ta|shuo 9970
说道 shuo|dao 9936
要求 yao|qiu 9918
政治 zheng|zhi 9917
一条 yi|tiao 9852
一只 yi|zhi 9842
以及 yi|ji 9816
身上 shen|shang 9775
晚上 wan|shang 9766
有了 you|le 9755
通过 tong|guo 9739
出去 chu|qu 9694
有关 you|guan 9682
十分 shi|fen 9667
离开 li|kai 9661
继续 ji|xu 9592
过了 guo|le 9568
终于 zhong|yu 9544
这时 zhe|shi 9538
多少 duo|shao 9485
一句 yi|ju 9453
人家 ren|jia 9436
作为 zuo|wei 9433
想起 xiang|qi 9429
她们 ta|men 9403
还不 hai|bu 9399
中央 zhong|yang 9342
由于 you|yu 9336
那是 na|shi 9303
来说 lai|shuo 9299
你是 ni|shi 9250
其中 qi|zhong 9188
他是 ta|shi 9114
是否 shi|fou 9094
原来 yuan|lai 9094
理论 li|lun 9038
程序 cheng|xu 9031
他们的 ta|men|de 9025
里面 li|mian 9012
还没 hai|mei 9002
有时 you|shi 9001
那一 na|yi 8991
是什么 shi|shen|me 8960
战争 zhan|zheng 8946
一位 yi|wei 8929
开了 kai|le 8925
准备 zhun|bei 8884
思想 si|xiang 8874
不了 bu|liao 8859
生命 sheng|ming 8856
精神 jing|shen 8835
清楚 qing|chu 8799
样子 yang|zi 8780
支持 zhi|chi 8778
修改 xiu|gai 8742
一片 yi|pian 8692
认识 ren|shi 8647
自由 zi|you 8627
也有 ye|you 8611
真是 zhen|shi 8598
几乎 ji|hu 8567
不出 bu|chu 8507
以前 yi|qian 8483
物理 wu|li 8470
不想 bu|xiang 8456
它的 ta|de 8442
文化 wen|hua 8416
那时 na|shi 8371
永远 yong|yuan 8368
要是 yao|shi 8358
看了 kan|le 8345
年轻 nian|qing 8344
是不是 shi|bu|shi 8342
只能 zhi|neng 8337
讨论 tao|lun 8334
好像 hao|xiang 8303
回答 hui|da 8272
三个 san|ge 8254
实在 shi|zai 8223
文章 wen|zhang 8219
领导 ling|dao 8216
一会 yi|hui 8208
组织 zu|zhi 8201
学家 xue|jia 8200
除了 chu|le 8198
那种 na|zhong 8148
比较 bi|jiao 8147
得很 de|hen 8141
技术 ji|shu 8131
站在 zhan|zai 8123
就会 jiu|hui 8115
代表 dai|biao 8104
找到 zhao|dao 8090
姑娘 gu|niang 8080
学校 xue|xiao 8075
不再 bu|zai 8067
名字 ming|zi 8066
别的 bie|de 8059
他在 ta|zai 8056
提出 ti|chu 8055
方法 fang|fa 8039
事件 shi|jian 7977
为他 wei|ta 7958
好了 hao|le 7954
主要 zhu|yao 7919
注意 zhu|yi 7919
目前 mu|qian 7874
真正 zhen|zheng 7872
就在 jiu|zai 7852
你说 ni|shuo 7836
根本 gen|ben 7823
实际 shi|ji 7811
太太 tai|tai 7810
地上 di|shang 7804
是因为 shi|yin|wei 7777
选择 xuan|ze 7771
而是 er|shi 7746
不敢 bu|gan 7704
爱情 ai|qing 7699
句话 ju|hua 7698
会有 hui|you 7688
一步 yi|bu 7681
方式 fang|shi 7666
我要 wo|yao 7660
影响 ying|xiang 7636
小说 xiao|shuo 7597
身体 shen|ti 7592
听到 ting|dao 7590
事实 shi|shi 7567
家里 jia|li 7562
整个 zheng|ge 7537
简单 jian|dan 7525
会议 hui|yi 7510
发表 fa|biao 7483
不起 bu|qi 7470
记得 ji|de 7457
脸上 lian|shang 7446
而不 er|bu 7423
解释 jie|shi 7405
给他 gei|ta 7385
文学 wen|xue 7328
地区 di|qu 7325
说是 shuo|shi 7325
怎样 zen|yang 7319
儿子 er|zi 7288
每一 mei|yi 7281
服务 fu|wu 7274
并且 bing|qie 7273
上去 shang|qu 7273
容易 rong|yi 7258
老师 lao|shi 7251
军事 jun|shi 7247
处理 chu|li 7234
提供 ti|gong 7181
小时 xiao|shi 7142
衣服 yi|fu 7141
不住 bu|zhu 7116
安全 an|quan 7115
消息 xiao|xi 7101
是说 shi|shuo 7098
不在 bu|zai 7089
都没 dou|mei 7069
一阵 yi|zhen 7044
产生 chan|sheng 7030
人类 ren|lei 7024
个月 ge|yue 7014
不见 bu|jian 7011
记者 ji|zhe 7010
下了 xia|le 7008
有个 you|ge 7000
面前 mian|qian 6996
革命 ge|ming 6987
说明 shuo|ming 6975
包括 bao|kuo 6963
解决 jie|jue 6959
变成 bian|cheng 6934
时代 shi|dai 6932
进入 jin|ru 6931
把我 ba|wo 6919
给你 gei|ni 6916
所谓 suo|wei 6900
实验 shi|yan 6891
日子 ri|zi 6890
基本 ji|ben 6885
原因 yuan|yin 6885
一件 yi|jian 6871
意义 yi|yi 6866
执行 zhi|xing 6858
小姐 xiao|jie 6853
程式 cheng|shi 6849
经过 jing|guo 6840
忽然 hu|ran 6829
了解 liao|jie 6807
之前 zhi|qian 6805
一张 yi|zhang 6767
飞机 fei|ji 6761
十年 shi|nian 6744
高兴 gao|xing 6733
总统 zong|tong 6731
还要 hai|yao 6715
我有 wo|you 6693
世纪 shi|ji 6691
曾经 ceng|jing 6673
我和 wo|he 6673
这次 zhe|ci 6662
运动 yun|dong 6660
进来 jin|lai 6660
接受 jie|shou 6654
和我 he|wo 6627
从来 cong|lai 6589
回去 hui|qu 6582
都有 dou|you 6578
回家 hui|jia 6567
这就 zhe|jiu 6560
机会 ji|hui 6555
建立 jian|li 6548
仿佛 fang|fo 6526
对他 dui|ta 6516
一年 yi|nian 6507
愿意 yuan|yi 6501
发出 fa|chu 6500
数学 shu|xue 6499
上面 shang|mian 6494
放在 fang|zai 6491
肯定 ken|ding 6490
计算 ji|suan 6468
死了 si|le 6447
仍然 reng|ran 6445
心中 xin|zhong 6420
作用 zuo|yong 6402
证明 zheng|ming 6396
尽管 jin|guan 6386
新闻 xin|wen 6375
一块 yi|kuai 6367
办法 ban|fa 6359
正是 zheng|shi 6359
同学 tong|xue 6349
房间 fang|jian 6341
第三 di|san 6339
立刻 li|ke 6295
带着 dai|zhe 6286
文字 wen|zi 6277
活动 huo|dong 6274
把他 ba|ta 6274
上海 shang|hai 6269
直到 zhi|dao 6262
中国人 zhong|guo|ren 6254
大概 da|gai 6252
人员 ren|yuan 6242
哪里 na|li 6232
另外 ling|wai 6225
人才 ren|cai 6208
城市 cheng|shi 6186
命令 ming|ling 6178
结束 jie|shu 6172
来到 lai|dao 6171
就像 jiu|xiang 6166
到底 dao|di 6116
理解 li|jie 6076
又是 you|shi 6076
一眼 yi|yan 6073
重新 chong|xin 6070
路上 lu|shang 6068
目的 mu|di 6067
走到 zou|dao 6066
让他 rang|ta 6064
马上 ma|shang 6059
在这里 zai|zhe|li 6058
身边 shen|bian 6049
改变 gai|bian 6045
即使 ji|shi 6032
看来 kan|lai 6024
控制 kong|zhi 6021
过程 guo|cheng 6012
各种 ge|zhong 6007
本来 ben|lai 5982
成功 cheng|gong 5976
才能 cai|neng 5973
人生 ren|sheng 5965
就可 jiu|ke 5956
并没 bing|mei 5929
美丽 mei|li 5927
每个 mei|ge 5927
和他 he|ta 5904
受到 shou|dao 5902
精华 jing|hua 5877
不管 bu|guan 5856
管理 guan|li 5839
考虑 kao|lv 5834
一口 yi|kou 5820
望着 wang|zhe 5809
每天 mei|tian 5808
就要 jiu|yao 5804
一段 yi|duan 5799
意识 yi|shi 5798
幸福 xing|fu 5782
无论 wu|lun 5778
计划 ji|hua 5774
根据 gen|ju 5766
轻轻 qing|qing 5755
现代 xian|dai 5747
慢慢 man|man 5733
参加 can|jia 5730
信息 xin|xi 5726
妈妈 ma|ma 5726
头发 tou|fa 5722
说着 shuo|zhe 5709
还在 hai|zai 5705
令人 ling|ren 5698
痛苦 tong|ku 5696
民族 min|zu 5688
见到 jian|dao 5678
他就 ta|jiu 5671
知识 zhi|shi 5668
同样 tong|yang 5664
报告 bao|gao 5659
委员 wei|yuan 5653
不可能 bu|ke|neng 5629
不断 bu|duan 5620
空间 kong|jian 5616
直接 zhi|jie 5605
分子 fen|zi 5604
那天 na|tian 5592
好象 hao|xiang 5576
太阳 tai|yang 5574
上来 shang|lai 5573
全部 quan|bu 5529
中共 zhong|gong 5529
行动 xing|dong 5527
作品 zuo|pin 5526
作者 zuo|zhe 5523
变得 bian|de 5515
得了 de|le 5510
口气 kou|qi 5505
打开 da|kai 5503
不用 bu|yong 5490
使我 shi|wo 5485
一会儿 yi|hui|er 5470
又不 you|bu 5463
星期 xing|qi 5459
具有 ju|you 5446
快乐 kuai|le 5443
留下 liu|xia 5437
显示 xian|shi 5431
你就 ni|jiu 5422
听见 ting|jian 5417
进了 jin|le 5407
皇上 huang|shang 5407
编辑 bian|ji 5395
部队 bu|dui 5389
进去 jin|qu 5381
下面 xia|mian 5376
接着 jie|zhe 5370
之中 zhi|zhong 5350
老人 lao|ren 5331
都在 dou|zai 5326
失去 shi|qu 5323
他也 ta|ye 5323
内容 nei|rong 5303
移动电话 yi|dong|dian|hua 5300
市场 shi|chang 5298
实现 shi|xian 5296
不愿 bu|yuan 5295
咱们 zan|men 5293
至于 zhi|yu 5284
中学 zhong|xue 5283
这位 zhe|wei 5263
下午 xia|wu 5259
能力 neng|li 5249
力量 li|liang 5247
全国 quan|guo 5242
努力 nu|li 5216
漂亮 piao|liang 5214
分钟 fen|zhong 5214
微笑 wei|xiao 5214
并没有 bing|mei|you 5213
一把 yi|ba 5211
门口 men|kou 5209
一部 yi|bu 5206
香港 xiang|gang 5196
也可 ye|ke 5193
是谁 shi|shui 5184
很快 hen|kuai 5183
只好 zhi|hao 5179
教育 jiao|yu 5175
网络 wang|luo 5169
她是 ta|shi 5168
国民 guo|min 5162
进程 jin|cheng 5161
之一 zhi|yi 5155
不多 bu|duo 5146
想象 xiang|xiang 5119
来看 lai|kan 5114
像是 xiang|shi 5114
天下 tian|xia 5111
很好 hen|hao 5105
西门 xi|men 5103
错误 cuo|wu 5102
环境 huan|jing 5099
联合 lian|he 5095
要不要 yao|bu|yao 5095
房子 fang|zi 5086
反对 fan|dui 5085
前面 qian|mian 5077
以下 yi|xia 5067
不一 bu|yi 5066
对不 dui|bu 5064
条件 tiao|jian 5057
本人 ben|ren 5041
床上 chuang|shang 5040
介绍 jie|shao 5028
一面 yi|mian 5026
速度 su|du 5022
不清 bu|qing 5021
指出 zhi|chu 5012
至少 zhi|shao 5009
见过 jian|guo 5004
功能 gong|neng 5002
方向 fang|xiang 4990
后面 hou|mian 4990
安装 an|zhuang 4971
多年 duo|nian 4970
首先 shou|xian 4962
共产 gong|chan 4959
你要 ni|yao 4953
明天 ming|tian 4946
女儿 nv|er 4942
这儿 zhe|er 4939
一时 yi|shi 4936
阳光 yang|guang 4935
一家 yi|jia 4931
年前 nian|qian 4910
说过 shuo|guo 4908
就可以 jiu|ke|yi 4902
你还 ni|hai 4897
利用 li|yong 4891
是的 shi|de 4886
几天 ji|tian 4881
感情 gan|qing 4866
完成 wan|cheng 4865
难道 nan|dao 4861
结构 jie|gou 4856
中心 zhong|xin 4851
报道 bao|dao 4842
软件 ruan|jian 4833
基础 ji|chu 4833
如今 ru|jin 4833
资料 zi|liao 4832
把它 ba|ta 4831
我心 wo|xin 4829
比如 bi|ru 4827
兄弟 xiong|di 4825
奇怪 qi|guai 4819
面对 mian|dui 4817
档案 dang|an 4803
不仅 bu|jin 4794
一场 yi|chang 4791
告诉我 gao|su|wo 4786
点头 dian|tou 4786
两人 liang|ren 4772
唯一 wei|yi 4768
函数 han|shu 4762
青年 qing|nian 4761
他还 ta|hai 4756
现实 xian|shi 4749
艺术 yi|shu 4728
表现 biao|xian 4724
刚才 gang|cai 4719
变化 bian|hua 4703
最好 zui|hao 4702
常常 chang|chang 4702
音乐 yin|yue 4693
用户 yong|hu 4689
语言 yu|yan 4687
最大 zui|da 4682
理学 li|xue 4674
以来 yi|lai 4663
相当 xiang|dang 4657
你也 ni|ye 4657
让人 rang|ren 4650
心情 xin|qing 4648
就有 jiu|you 4647
企业 qi|ye 4640
越来越 yue|lai|yue 4640
不少 bu|shao 4636
昨天 zuo|tian 4633
那就 na|jiu 4612
那儿 na|er 4600
承认 cheng|ren 4599
我把 wo|ba 4596
你看 ni|kan 4592
要不 yao|bu 4587
十一 shi|yi 4587
结婚 jie|hun 4579
调查 diao|cha 4573
合作 he|zuo 4572
本文 ben|wen 4571
确实 que|shi 4569
住在 zhu|zai 4565
和平 he|ping 4561
主席 zhu|xi 4549
应用 ying|yong 4546
建设 jian|she 4540
父母 fu|mu 4538
还没有 hai|mei|you 4535
学习 xue|xi 4533
女子 nv|zi 4530
人物 ren|wu 4526
英国 ying|guo 4526
等待 deng|dai 4524
这件 zhe|jian 4523
经常 jing|chang 4513
笑道 xiao|dao 4505
目光 mu|guang 4491
外面 wai|mian 4486
年代 nian|dai 4482
态度 tai|du 4479
我又 wo|you 4477
导弹 dao|dan 4470
很大 hen|da 4468
获得 huo|de 4457
例如 li|ru 4454
但他 dan|ta 4437
状态 zhuang|tai 4434
造成 zao|cheng 4434
医生 yi|sheng 4426
改革 gai|ge 4424
好好 hao|hao 4415
分析 fen|xi 4404
完了 wan|le 4402
政策 zheng|ce 4392
吃饭 chi|fan 4385
另一个 ling|yi|ge 4372
等等 deng|deng 4369
你在 ni|zai 4363
夫人 fu|ren 4359
走过 zou|guo 4341
多么 duo|me 4340
标准 biao|zhun 4332
显得 xian|de 4328
不如 bu|ru 4318
再说 zai|shuo 4316
相对 xiang|dui 4315
资金 zi|jin 4312
她在 ta|zai 4311
这不 zhe|bu 4309
听说 ting|shuo 4306
毫无 hao|wu 4305
负责 fu|ze 4303
战略 zhan|lue 4303
手里 shou|li 4303
不说 bu|shuo 4301
却是 que|shi 4293
兴趣 xing|qu 4282
行为 xing|wei 4271
习惯 xi|guan 4269
充满 chong|man 4268
带来 dai|lai 4266
消失 xiao|shi 4258
再也 zai|ye 4245
其它 qi|ta 4241
民主 min|zhu 4238
国内 guo|nei 4231
阴影 yin|ying 4230
电视 dian|shi 4228
不错 bu|cuo 4225
头上 tou|shang 4221
我会 wo|hui 4219
既然 ji|ran 4202
此时 ci|shi 4196
给她 gei|ta 4189
沉默 chen|mo 4185
哈哈 ha|ha 4183
同意 tong|yi 4175
旁边 pang|bian 4175
数据 shu|ju 4169
不行 bu|xing 4168
机器 ji|qi 4167
怀疑 huai|yi 4167
阿拉 a|la 4166
有意 you|yi 4163
点点 dian|dian 4154
更多 geng|duo 4152
中文 zhong|wen 4149
大陆 da|lu 4149
却不 que|bu 4145
也会 ye|hui 4137
站起 zhan|qi 4131
武器 wu|qi 4130
更加 geng|jia 4129
是由 shi|you 4126
可不 ke|bu 4124
医院 yi|yuan 4105
一九 yi|jiu 4102
跟着 gen|zhe 4098
妻子 qi|zi 4093
便是 bian|shi 4093
左右 zuo|you 4090
大人 da|ren 4087
中间 zhong|jian 4082
量子 liang|zi 4081
来自 lai|zi 4080
依然 yi|ran 4079
同一 tong|yi 4078
呵呵 he|he 4075
又一 you|yi 4070
的确 di|que 4068
不动 bu|dong 4067
都会 du|hui 4060
汽车 qi|che 4057
不明 bu|ming 4049
位置 wei|zhi 4046
绝对 jue|dui 4045
帮助 bang|zhu 4042
共产党 gong|chan|dang 4039
未来 wei|lai 4031
丈夫 zhang|fu 4031
理由 li|you 4027
男孩 nan|hai 4024
教授 jiao|shou 4020
也就是 ye|jiu|shi 4020
统一 tong|yi 4012
而已 er|yi 4008
属于 shu|yu 4003
起身 qi|shen 4001
坚持 jian|chi 3999
我去 wo|qu 3998
保持 bao|chi 3989
举行 ju|xing 3987
经验 jing|yan 3975
不过是 bu|guo|shi 3975
死亡 si|wang 3971
哥哥 ge|ge 3970
不上 bu|shang 3970
恐怖 kong|bu 3965
一生 yi|sheng 3959
对方 dui|fang 3952
尤其 you|qi 3949
随着 sui|zhe 3948
老板 lao|ban 3947
责任 ze|ren 3946
必要 bi|yao 3943
上车 shang|che 3942
不必 bu|bi 3936
办公 ban|gong 3934
当年 dang|nian 3934
渐渐 jian|jian 3933
加入 jia|ru 3931
物质 wu|zhi 3927
很有 hen|you 3923
外交 wai|jiao 3923
拥有 yong|you 3907
最近 zui|jin 3904
这就是 zhe|jiu|shi 3904
之外 zhi|wai 3902
军队 jun|dui 3902
拒绝 ju|jue 3901
多数 duo|shu 3901
年来 nian|lai 3899
电影 dian|ying 3895
目标 mu|biao 3891
现象 xian|xiang 3891
实际上 shi|ji|shang 3889
增加 zeng|jia 3883
难以 nan|yi 3882
设备 she|bei 3879
为她 wei|ta 3879
解放 jie|fang 3874
老爷 lao|ye 3872
官员 guan|yuan 3867
开发 kai|fa 3865
少年 shao|nian 3858
吃了 chi|le 3855
一本 yi|ben 3852
五十 wu|shi 3849
警察 jing|cha 3840
电子 dian|zi 3837
不懂 bu|dong 3832
印度 yin|du 3829
并不是 bing|bu|shi 3827
记忆 ji|yi 3825
一方 yi|fang 3824
宇宙 yu|zhou 3822
西方 xi|fang 3817
眼前 yan|qian 3815
坐下 zuo|xia 3814
形式 xing|shi 3813
定义 ding|yi 3813
这件事 zhe|jian|shi 3810
走进 zou|jin 3807
在家 zai|jia 3807
又有 you|you 3799
设定 she|ding 3792
引起 yin|qi 3790
点儿 dian|er 3781
正常 zheng|chang 3778
严重 yan|zhong 3773
生产 sheng|chan 3770
走出 zou|chu 3763
一笑 yi|xiao 3749
独立 du|li 3745
再次 zai|ci 3738
显然 xian|ran 3735
回忆 hui|yi 3733
上帝 shang|di 3729
露出 lou|chu 3725
看我 kan|wo 3724
说得 shuo|de 3724
正确 zheng|que 3723
为你 wei|ni 3722
黑暗 hei|an 3716
担心 dan|xin 3715
无所 wu|suo 3713
早已 zao|yi 3711
对她 dui|ta 3710
我来 wo|lai 3706
使他 shi|ta 3705
建议 jian|yi 3697
紧张 jin|zhang 3695
身子 shen|zi 3695
表情 biao|qing 3693
什么事 shen|me|shi 3692
不去 bu|qu 3690
小心 xiao|xin 3687
四十 si|shi 3675
真实 zhen|shi 3671
立即 li|ji 3663
操作 cao|zuo 3660
形成 xing|cheng 3651
毕业 bi|ye 3637
攻击 gong|ji 3636
本身 ben|shen 3635
女孩子 nv|hai|zi 3628
天空 tian|kong 3627
以上 yi|shang 3615
大多 da|duo 3607
害怕 hai|pa 3605
躺在 tang|zai 3599
一回 yi|hui 3599
包含 bao|han 3598
作家 zuo|jia 3598
联系 lian|xi 3597
动物 dong|wu 3590
在上 zai|shang 3582
街上 jie|shang 3581
简直 jian|zhi 3579
竟然 jing|ran 3573
十四 shi|si 3573
意见 yi|jian 3572
巨大 ju|da 3572
书记 shu|ji 3565
答应 da|ying 3564
复杂 fu|za 3563
或许 huo|xu 3562
都要 dou|yao 3558
姐姐 jie|jie 3556
让你 rang|ni 3555
小孩 xiao|hai 3555
早就 zao|jiu 3555
很难 hen|nan 3553
把她 ba|ta 3553
空气 kong|qi 3548
启动 qi|dong 3545
确定 que|ding 3539
康熙 kang|xi 3535
委员会 wei|yuan|hui 3534
不成 bu|cheng 3532
研究生 yan|jiu|sheng 3526
不久 bu|jiu 3525
取得 qu|de 3520
将来 jiang|lai 3515
听了 ting|le 3512
计算机 ji|suan|ji 3509
二天 er|tian 3509
哪儿 na|er 3506
几年 ji|nian 3503
刚刚 gang|gang 3501
反应 fan|ying 3500
十五 shi|wu 3500
一百 yi|bai 3498
加上 jia|shang 3497
她就 ta|jiu 3490
工程 gong|cheng 3489
开放 kai|fang 3485
打了 da|le 3485
回头 hui|tou 3485
咖啡 ka|fei 3484
宣布 xuan|bu 3477
保护 bao|hu 3474
周围 zhou|wei 3474
玻璃 bo|li 3469
眼泪 yan|lei 3465
设计 she|ji 3462
每次 mei|ci 3462
谢谢 xie|xie 3459
共同 gong|tong 3459
我爱 wo|ai 3456
今年 jin|nian 3453
会在 hui|zai 3451
生物 sheng|wu 3449
否则 fou|ze 3445
北约 bei|yue 3443
时期 shi|qi 3430
不对 bu|dui 3430
仅仅 jin|jin 3426
采取 cai|qu 3422
想要 xiang|yao 3420
问道 wen|dao 3419
在此 zai|ci 3418
不安 bu|an 3418
不大 bu|da 3417
假如 jia|ru 3417
居然 ju|ran 3416
爸爸 ba|ba 3414
游戏 you|xi 3410
家庭 jia|ting 3410
心理 xin|li 3407
认真 ren|zhen 3407
太多 tai|duo 3407
一定要 yi|ding|yao 3406
不肯 bu|ken 3401
忘记 wang|ji 3400
观察 guan|cha 3399
穿着 chuan|zhuo 3397
可怜 ke|lian 3396
你有 ni|you 3392
手指 shou|zhi 3390
怎么样 zen|me|yang 3389
物理学 wu|li|xue 3386
要去 yao|qu 3382
掉了 diao|le 3371
一道 yi|dao 3370
达到 da|dao 3367
动作 dong|zuo 3365
描述 miao|shu 3365
寻找 xun|zhao 3365
这一点 zhe|yi|dian 3363
加强 jia|qiang 3353
空中 kong|zhong 3346
一份 yi|fen 3339
某种 mou|zhong 3339
脑袋 nao|dai 3336
想着 xiang|zhe 3333
主人 zhu|ren 3332
叫我 jiao|wo 3329
也要 ye|yao 3327
星星 xing|xing 3323
不太 bu|tai 3319
要把 yao|ba 3318
日期 ri|qi 3315
部长 bu|zhang 3315
皇帝 huang|di 3314
主任 zhu|ren 3310
说出 shuo|chu 3310
通常 tong|chang 3308
最终 zui|zhong 3307
双手 shuang|shou 3285
强烈 qiang|lie 3281
能在 neng|zai 3278
第一个 di|yi|ge 3277
外国 wai|guo 3276
动了 dong|le 3276
普通 pu|tong 3274
土地 tu|di 3271
恢复 hui|fu 3268
电脑 dian|nao 3262
附近 fu|jin 3262
标题 biao|ti 3253
联盟 lian|meng 3248
英雄 ying|xiong 3241
经历 jing|li 3239
她也 ta|ye 3236
反正 fan|zheng 3235
算是 suan|shi 3232
那边 na|bian 3232
